Group,Licence
Building and Construction,Abseiling Ticket
Building and Construction,Asbestos Removal
Building and Construction,Basic Fire Ticket
Building and Construction,Boom Lift Ticket
Building and Construction,Building Licence
Building and Construction,Cherry Picker Licence
Building and Construction,Contractor
Building and Construction,Electrician
Building and Construction,Elevated Platform Ticket
Building and Construction,Fire Protection
Building and Construction,Gas Testing Ticket
Building and Construction,Other Building Licence
Building and Construction,Plumbing Licence
Building and Construction,Qualified Supervisor Certificate
Building and Construction,Rope Access Licence
Building and Construction,Scissor Lift Ticket
Building and Construction,Tradesperson Certified
Building and Construction,White Card
Building and Construction,Working at Heights Ticket
Building and Construction,Working in Confined Spaces Ticket
Crane and Hoist,Boom Crane Ticket
Crane and Hoist,Boom Elevator Work Platform
Crane and Hoist,Concrete Placing Boom
Crane and Hoist,Derrick Crane
Crane and Hoist,Hoist (personnel and materials) Operation Licence
Crane and Hoist,Material Hoist
Crane and Hoist,Materials Hoist (cantilever platform) Operation Licence
Crane and Hoist,Non Slew Mobile Crane > 3t
Crane and Hoist,Overhead Crane Tickets
Crane and Hoist,Portal Boom Crane
Crane and Hoist,Self-erecting Tower Crane Operation Licence
Crane and Hoist,Slew Mobile Crane < 100t
Crane and Hoist,Slew Mobile Crane < 20t
Crane and Hoist,Slew Mobile Crane < 60t
Crane and Hoist,Slew Mobile Crane > 100t
Crane and Hoist,Tower Crane
Crane and Hoist,Vehicle Load Crane
High Risk,Explosives
High Risk,High Risk - General
Hospitality,Casino Employment Licence
Hospitality,Gaming Licence
Hospitality,Responsible Service of Alcohol
Hospitality,TAB Licence
Loadshifting,Backhoe Ticket
Loadshifting,Bridge/Gantry Crane
Loadshifting,Dozer
Loadshifting,Dragline
Loadshifting,Excavator
Loadshifting,FE Load/Backhoe
Loadshifting,FE Loader-Skid Steer
Loadshifting,Forklift Truck
Loadshifting,Front End Loader
Loadshifting,Grader
Loadshifting,Loader Ticket
Loadshifting,Order Picking FL
Loadshifting,Reach Stacker Operation Licence
Loadshifting,Road Roller
Loadshifting,Scraper
Motor Vehicle,Boat/Coxswain
Motor Vehicle,Car
Motor Vehicle,Dangers Goods Security Card
Motor Vehicle,Dealers - MV
Motor Vehicle,Driver Accreditation - Commercial Passenger Vehicle
Motor Vehicle,Driving Instructors Licence
Motor Vehicle,English Language Competency Test
Motor Vehicle,Heavy Combination
Motor Vehicle,Heavy Rigid Vehicle
Motor Vehicle,High Consequence Dangerous Goods (HCDG) Licence
Motor Vehicle,Licence to Undertake Vehicle Repair Work
Motor Vehicle,Light Rigid Vehicle
Motor Vehicle,Manual Drivers Licence
Motor Vehicle,Medium Rigid Vehicle
Motor Vehicle,Motor Vehicle Repairer's Certificate
Motor Vehicle,Motorcycle
Motor Vehicle,Multi Combination
Motor Vehicle,Own Transport
Motor Vehicle,Restricted Motorbike
Motor Vehicle,Special Vehicle
Motor Vehicle,Tilt Panel Ticket
Other,"Accounting certification (CA, CPA, CTA, NPA, etc)"
Other,Book- Keeping
Other,Chainsaw
Other,CNC Machine certification
Other,CPR Certificate
Other,Employment Agent
Other,Firearms
Other,First Aid Certificate
Other,Food Handling Certificate
Other,Food Safety Supervisor Certificate
Other,Insurance Agent Licence
Other,Manual Handling Training
Other,Medical Dispensing
Other,Mind Winder
Other,National Police Check
Other,Pest Control
Other,Q Fever Immunisation
Other,Registered Nurse
Other,Shotfiring Licence
Other,Training in anaphylaxis and/or asthma management
Pressure Equipment,Advanced Boiler Operator
Pressure Equipment,Basic Boiler Operator
Pressure Equipment,Intermediate Boiler Operator
Pressure Equipment,Licence Classes for Pressure Equipment Operation
Pressure Equipment,Reciprocating Steam Engine
Pressure Equipment,Standard Boiler Operation Licence
Pressure Equipment,Turbine Operator
Public Transport,Airport Security Clearance
Public Transport,Aviation Security Identification Card (ASIC)
Public Transport,Bus
Public Transport,Ferry
Public Transport,Limousine
Public Transport,Pilot
Public Transport,Taxi
Public Transport,Traffic Controller
Public Transport,Train
Real Estate,Conveyancer
Real Estate,Real Estate Licence
Scaffolding,Advance Rigging
Scaffolding,Advance Scaffold
Scaffolding,Basic Rigging
Scaffolding,Basic Scaffold
Scaffolding,Dogging
Scaffolding,Intermediate Rigging
Scaffolding,Intermediate Scaffold
Scaffolding,Mobile Scaffold
Security,Crowd Control
Security,Guarding with Dog
Security,Guarding with Firearm
Security,Other
Security,Security Licence
Support Work,Working with Children Check
Support Work,Working with Vulnerable People and Children Check
Travel,Travel Agent
